Entity,Year,biomass_nox_per_capita,brown_coal_nox_per_capita,coal_coke_nox_per_capita,diesel_oil_nox_per_capita,hard_coal_nox_per_capita,heavy_oil_nox_per_capita,light_oil_nox_per_capita,natural_gas_nox_per_capita,process_nox_per_capita,biomass_so2_per_capita,brown_coal_so2_per_capita,coal_coke_so2_per_capita,diesel_oil_so2_per_capita,hard_coal_so2_per_capita,heavy_oil_so2_per_capita,light_oil_so2_per_capita,natural_gas_so2_per_capita,process_so2_per_capita,biomass_co_per_capita,brown_coal_co_per_capita,coal_coke_co_per_capita,diesel_oil_co_per_capita,hard_coal_co_per_capita,heavy_oil_co_per_capita,light_oil_co_per_capita,natural_gas_co_per_capita,process_co_per_capita,biomass_oc_per_capita,brown_coal_oc_per_capita,coal_coke_oc_per_capita,diesel_oil_oc_per_capita,hard_coal_oc_per_capita,heavy_oil_oc_per_capita,light_oil_oc_per_capita,natural_gas_oc_per_capita,process_oc_per_capita,biomass_nmvoc_per_capita,brown_coal_nmvoc_per_capita,coal_coke_nmvoc_per_capita,diesel_oil_nmvoc_per_capita,hard_coal_nmvoc_per_capita,heavy_oil_nmvoc_per_capita,light_oil_nmvoc_per_capita,natural_gas_nmvoc_per_capita,process_nmvoc_per_capita,biomass_bc_per_capita,brown_coal_bc_per_capita,coal_coke_bc_per_capita
Afghanistan,1829,0.0489210134588993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1913985266876448,0.0553993616501212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.45484953156989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1683708861710023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.185627426643335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1048506085117814,0.6489080153690004,0.0,0.0
Afghanistan,1830,0.0488515821386948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1917767693292746,0.0553207359114889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.374725788053865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1652934181736088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.178267706701654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1047198756573568,0.6479870503886616,0.0,0.0
Afghanistan,1831,0.0488949479630473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926008653207884,0.0553698444400474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42476994935677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1672155613250346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.182864484083027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1048326591592602,0.6485622721395153,0.0,0.0
Afghanistan,1832,0.04893685171372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1934205899577469,0.0554172972803277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47312687763284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169072899645638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18730628165432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049423499948615,0.6491181003565325,0.0,0.0
Afghanistan,1833,0.0489773244341493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1942360084524009,0.0554631295866824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.51983239700848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1708668091020886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.191596390019834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1050490129922785,0.6496549468123499,0.0,0.0
Afghanistan,1834,0.0490163547175302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1950470187166032,0.0555073284417641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.56487334403001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172596784100121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.195733600058197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1051526219620705,0.6501726602025125,0.0,0.0
Afghanistan,1835,0.0490539734008396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1958536866714047,0.055549928766126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.60828530456902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1742641914552983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199721180489022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052532413358414,0.6506716495610949,0.0,0.0
Afghanistan,1836,0.0490901691809199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1966455676231597,0.0555909177597933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.650055234781554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175868530167416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203557933177506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053508451583878,0.6511517649584662,0.0,0.0
Afghanistan,1837,0.0491249865719889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1974434615172605,0.0556303458317643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.69023450407528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1774117732809293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.207248576630817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1054455272654188,0.6516135968491285,0.0,0.0
Afghanistan,1838,0.0491584142211238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1982369339925232,0.055668200125709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.72881001117687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1788934175898382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.210791907439132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055372616236241,0.6520569946433481,0.0,0.0
