Entity,Year,% global domestic CO2,% global domestic RPKs,% global international CO2,% global international RPKs,% global total CO2,% global total RPKs,Domestic RPKs (billions),Domestic aviation CO2 (Mt),International RPKs (billions),International aviation CO2 (Mt),Total RPKs (billions),Total aviation CO2 (Mt),Per capita total RPKs,Per capita domestic RPKs,Per capita international RPKs,Per capita aviation CO2,Per capita domestic aviation CO2,Per capita international aviation CO2,Inbound-outbound flight ratio,Per capita international RPKs - adjusted,Per capita international CO2 - adjusted,Per capita total RPKs - adjusted,Per capita aviation CO2 - adjusted
Iceland,2018,3.2185577810934364e-05,1.0602166612231173e-05,0.0015819355084332,0.0017720276272061,0.0016141210862441,0.0017826297938183,0.0901465312299999,0.02403614128666,15.066933927644184,1.1813870675382936,15.157080458874184,1.2054232088249537,44976.49987796494,267.49712531157263,44709.00275265337,3.576923468323305,0.0713238613847477,3.5055996069385564,0.2850072531785989,12742.390066888152,0.9991213147175338,13009.887192199723,1.0704451761022815
India,2018,0.0144396614058695,0.0146905379062254,0.0115055914029421,0.0127771447581822,0.0259452528088116,0.0274676826644076,124.90852884930835,10.783517503454608,108.63961311878596,8.592358421284775,233.5481419680943,19.375875924739383,172.66071412863124,92.34411205388491,80.31660207474634,0.0143244666638807,0.0079721885915042,0.0063522780723764,1.509269356597601,121.21938633745796,0.0095872986392246,213.56349839134288,0.0175594872307289
Indonesia,2018,0.012326717574343,0.0101631361827678,0.0062737854588341,0.0065872477084066,0.0186005030331771,0.0167503838911745,86.41360835036181,9.205574215821793,56.00907370957256,4.68525358086009,142.42268205993437,13.89082779668188,532.0810913520166,322.83514376858403,209.24594758343255,0.0518951525623644,0.0343913757586394,0.017503776803725,0.5988614800759013,125.30933786969892,0.0104823376835969,448.14448163828297,0.0448737134422364
Iran,2018,0.0023421238316494,0.0013673545592422,0.0013995461301389,0.001242585680049,0.0037416699617883,0.0026099402392912,11.626139730252024,1.7490945683521075,10.565273392635495,1.0451789530958735,22.19141312288752,2.7942735214479812,271.288668983955,142.1288475580932,129.15982142586182,0.0341598230005865,0.0213825741852335,0.0127772488153529,0.992871830020562,128.2391482642244,0.0126861704139275,270.36799582231765,0.0340687445991611
Iraq,2018,8.151047747684446e-05,3.608975222138518e-05,0.0007361336496871,0.0006277511408174,0.000817644127164,0.0006638408930388,0.3068585973696,0.0608719024553586,5.337549379301899,0.5497435066626339,5.644407976671499,0.6106154091179926,146.8597589808893,7.984040104324295,138.875718876565,0.0158873759982825,0.0015838034671217,0.0143035725311607,,,,,
Ireland,2018,6.5113558303031625e-06,3.7436652646604782e-06,0.0037047664914841,0.0038770864173627,0.0037112778473145,0.0038808300826274,0.031831082272,0.0048626707783296,32.965515878706945,2.7667140651160107,32.997346960978945,2.77157673589434,6847.343216638087,6.605329377879229,6840.7378872602085,0.5751352429745467,0.0010090622075803,0.5741261807669663,0.7910488742449203,5411.358004721763,0.4541618689702443,5417.963334099642,0.4551709311778246
Israel,2018,7.651033484385762e-05,3.644982208706953e-05,0.0035529236377256,0.003968462720779,0.0036294339725695,0.004004912542866,0.3099201460679999,0.057137803428586,33.74245677115535,2.653318049430062,34.05237691722335,2.710455852858648,4062.559880365467,36.97448652684323,4025.585393838624,0.323366243481108,0.0068167267273426,0.3165495167537654,2.0560543557388984,8276.822383400793,0.6508430127286228,8313.796869927637,0.6576597394559655
Italy,2018,0.0030144924077088,0.0026019381769539,0.0129079978044101,0.0133884379423613,0.0159224902121189,0.0159903761193152,22.12337437299948,2.251218413566506,113.8372262231412,9.639673420723708,135.9606005961407,11.890891834290214,2242.5751001392227,364.9096008873848,1877.665499251838,0.1961319516764843,0.0371322746229651,0.1589996770535191,0.5416374303200405,1017.0139160153616,0.0861201765009844,1381.9235169027463,0.1232524511239495
Japan,2018,0.0125973328838101,0.011231072129848,0.0187678876248177,0.0202079566766225,0.0313652205086279,0.0314390288064705,95.49389587329522,9.407669323478244,171.82121959317857,14.015830358932472,267.3151154664738,23.42349968241072,2101.5008841564895,750.7263712307607,1350.774512925729,0.1841441147341293,0.0739585016232311,0.1101856131108982,0.6076558091818415,820.8059796740916,0.0669549278951001,1571.5323509048524,0.1409134295183313
Jordan,2018,6.940508125066665e-06,2.723809322458725e-06,0.0009714912787494,0.0009615323763259,0.0009784317868745,0.0009642561856483,0.0231596022899999,0.0051831610690748,8.175575008519804,0.7255082314181097,8.198734610809804,0.7306913924871845,822.7530969202011,2.3240945599598595,820.4290023602412,0.0733257794768875,0.0005201365849548,0.0728056428919327,0.3616867469879518,296.73829699824626,0.0263328361399496,299.0623915582061,0.0268529727249044
