Entity,Year,Daily fat supply (FAO (2017))
Belarus,2003,93.78
Belarus,2004,95.27
Belarus,2005,102.82
Belarus,2006,112.32
Belarus,2007,118.35
Belarus,2008,119.11
Belarus,2009,110.9
Belarus,2010,123.96
Belarus,2011,134.23
Belarus,2012,130.85
Belarus,2013,129.84
Belgium,1961,115.0
Belgium,1962,115.91
Belgium,1963,117.17
Belgium,1964,121.42
Belgium,1965,119.28
Belgium,1966,123.39
Belgium,1967,125.8
Belgium,1968,124.59
Belgium,1969,127.15
Belgium,1970,124.74
Belgium,1971,134.66
Belgium,1972,132.74
Belgium,1973,135.0
Belgium,1974,138.38
Belgium,1975,128.64
Belgium,1976,126.53
Belgium,1977,125.61
Belgium,1978,125.76
Belgium,1979,129.21
Belgium,1980,135.82
Belgium,1981,135.07
Belgium,1982,142.84
Belgium,1983,146.4
Belgium,1984,148.57
Belgium,1985,146.5
Belgium,1986,151.44
Belgium,1987,147.24
Belgium,1988,160.26
Belgium,1989,151.33
Belgium,1990,151.72
Belgium,1991,156.57
Belgium,1992,157.66
Belgium,1993,158.36
Belgium,1994,157.64
Belgium,1995,157.83
Belgium,1996,159.26
Belgium,1997,160.91
Belgium,1998,159.74
Belgium,1999,159.43
Belgium,2000,161.53
Belgium,2001,164.94
Belgium,2002,165.81
Belgium,2003,162.06
Belgium,2004,160.79
Belgium,2005,163.34
Belgium,2006,163.62
Belgium,2007,165.2
Belgium,2008,162.36
Belgium,2009,159.41
Belgium,2010,161.27
Belgium,2011,167.7
Belgium,2012,161.56
Belgium,2013,162.32
Belize,1961,54.21
Belize,1962,56.52
Belize,1963,58.04
Belize,1964,60.43
Belize,1965,59.86
Belize,1966,60.5
Belize,1967,59.96
Belize,1968,60.9
Belize,1969,60.83
Belize,1970,62.86
Belize,1971,63.09
Belize,1972,62.77
Belize,1973,61.67
Belize,1974,63.28
Belize,1975,64.73
Belize,1976,66.54
Belize,1977,66.56
Belize,1978,68.57
Belize,1979,73.18
Belize,1980,74.9
Belize,1981,74.54
Belize,1982,75.45
Belize,1983,73.46
Belize,1984,73.04
Belize,1985,72.42
Belize,1986,71.59
Belize,1987,73.84
Belize,1988,74.74
Belize,1989,59.87
Belize,1990,65.05
Belize,1991,66.36
Belize,1992,72.82
Belize,1993,70.77
Belize,1994,72.05
Belize,1995,73.47
Belize,1996,69.79
Belize,1997,72.28
Belize,1998,67.05
Belize,1999,63.95
Belize,2000,67.39
Belize,2001,66.0
Belize,2002,69.47
Belize,2003,71.31
Belize,2004,66.42
Belize,2005,71.45
Belize,2006,71.98
Belize,2007,68.39
Belize,2008,69.04
Belize,2009,70.63
Belize,2010,73.41
Belize,2011,72.54
Belize,2012,78.54
Belize,2013,75.68
Benin,1961,31.98
Benin,1962,36.77
Benin,1963,36.8
Benin,1964,34.31
Benin,1965,37.55
Benin,1966,35.53
Benin,1967,40.28
Benin,1968,39.97
Benin,1969,40.86
Benin,1970,41.31
Benin,1971,40.83
Benin,1972,35.46
Benin,1973,45.5
Benin,1974,44.82
Benin,1975,43.23
Benin,1976,46.99
Benin,1977,47.23
Benin,1978,47.19
Benin,1979,45.93
Benin,1980,42.58
Benin,1981,45.24
Benin,1982,50.72
Benin,1983,44.76
Benin,1984,48.73
Benin,1985,47.34
Benin,1986,40.38
Benin,1987,36.45
Benin,1988,37.36
Benin,1989,38.0
Benin,1990,41.33
Benin,1991,39.61
Benin,1992,38.79
Benin,1993,40.7
Benin,1994,37.11
Benin,1995,39.7
Benin,1996,39.49
Benin,1997,39.16
Benin,1998,40.67
Benin,1999,41.43
Benin,2000,43.02
Benin,2001,48.78
Benin,2002,53.6
Benin,2003,51.89
Benin,2004,48.6
Benin,2005,50.05
Benin,2006,42.89
Benin,2007,46.79
Benin,2008,49.91
Benin,2009,47.14
Benin,2010,49.15
Benin,2011,48.28
Benin,2012,50.13
Benin,2013,49.8
Bermuda,1961,103.87
Bermuda,1962,103.87
Bermuda,1963,105.79
Bermuda,1964,105.65
Bermuda,1965,105.69
Bermuda,1966,110.6
Bermuda,1967,107.56
Bermuda,1968,115.86
Bermuda,1969,122.88
Bermuda,1970,124.69
Bermuda,1971,120.5
Bermuda,1972,122.18
Bermuda,1973,121.51
Bermuda,1974,120.79
Bermuda,1975,121.17
Bermuda,1976,121.7
Bermuda,1977,118.38
Bermuda,1978,127.57
Bermuda,1979,128.52
Bermuda,1980,129.3
Bermuda,1981,131.81
Bermuda,1982,129.21
Bermuda,1983,135.21
Bermuda,1984,128.72
Bermuda,1985,133.37
Bermuda,1986,127.09
Bermuda,1987,125.42
Bermuda,1988,124.05
Bermuda,1989,123.4
Bermuda,1990,123.78
Bermuda,1991,115.8
Bermuda,1992,126.89
Bermuda,1993,126.7
Bermuda,1994,104.69
Bermuda,1995,107.86
Bermuda,1996,106.97
Bermuda,1997,110.1
Bermuda,1998,110.63
Bermuda,1999,102.8
Bermuda,2000,106.07
Bermuda,2001,107.98
Bermuda,2002,109.54
Bermuda,2003,111.95
Bermuda,2004,105.6
Bermuda,2005,110.62
Bermuda,2006,113.4
Bermuda,2007,116.88
Bermuda,2008,122.49
Bermuda,2009,119.73
Bermuda,2010,119.54
Bermuda,2011,119.07
Bermuda,2012,120.22
Bermuda,2013,109.6
Bolivia,1961,34.69
Bolivia,1962,34.22
Bolivia,1963,35.75
Bolivia,1964,36.46
Bolivia,1965,35.71
Bolivia,1966,37.38
Bolivia,1967,37.92
Bolivia,1968,38.54
Bolivia,1969,41.52
Bolivia,1970,43.43
Bolivia,1971,41.88
Bolivia,1972,41.83
Bolivia,1973,43.06
Bolivia,1974,46.46
Bolivia,1975,47.75
Bolivia,1976,46.73
Bolivia,1977,47.36
Bolivia,1978,46.47
Bolivia,1979,46.65
Bolivia,1980,51.84
Bolivia,1981,46.76
Bolivia,1982,44.41
Bolivia,1983,45.05
Bolivia,1984,39.07
Bolivia,1985,40.04
Bolivia,1986,37.0
Bolivia,1987,38.23
Bolivia,1988,40.09
Bolivia,1989,40.42
Bolivia,1990,38.25
Bolivia,1991,39.52
Bolivia,1992,41.6
Bolivia,1993,39.61
Bolivia,1994,41.0
Bolivia,1995,44.38
Bolivia,1996,47.11
Bolivia,1997,47.16
Bolivia,1998,42.02
Bolivia,1999,42.34
Bolivia,2000,41.49
Bolivia,2001,41.64
Bolivia,2002,43.61
Bolivia,2003,45.45
Bolivia,2004,45.14
Bolivia,2005,46.13
Bolivia,2006,47.59
