Entity,Year,biomass_nox,brown_coal_nox,coal_coke_nox,diesel_oil_nox,hard_coal_nox,heavy_oil_nox,light_oil_nox,natural_gas_nox,process_nox,biomass_so2,brown_coal_so2,coal_coke_so2,diesel_oil_so2,hard_coal_so2,heavy_oil_so2,light_oil_so2,natural_gas_so2,process_so2,biomass_co,brown_coal_co,coal_coke_co,diesel_oil_co,hard_coal_co,heavy_oil_co,light_oil_co,natural_gas_co,process_co,biomass_oc,brown_coal_oc,coal_coke_oc,diesel_oil_oc,hard_coal_oc,heavy_oil_oc,light_oil_oc,natural_gas_oc,process_oc,biomass_nmvoc,brown_coal_nmvoc,coal_coke_nmvoc,diesel_oil_nmvoc,hard_coal_nmvoc,heavy_oil_nmvoc,light_oil_nmvoc,natural_gas_nmvoc,process_nmvoc,biomass_bc,brown_coal_bc,coal_coke_bc
Afghanistan,1784,140.983763632383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.773647434742,159.653489493374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162695.26323177002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6248.95248214982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14944.2789450326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.183377170133,1870.06539295844,0.0,0.0
Afghanistan,1785,141.54469481061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.809605006195,160.288701787771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163342.57781144397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6273.8151485178105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15003.7376499247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.413636912634,1877.50580990581,0.0,0.0
Afghanistan,1786,142.105488265311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.845562577649,160.923758120651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163989.733458169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6298.67171043983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15063.181756123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.64389665513403,1884.94440003288,0.0,0.0
Afghanistan,1787,142.66614399648898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.88152014910304,161.558658492019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164636.730171948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6323.5221679159995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15122.6112636278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.874156397635,1892.3811633397104,0.0,0.0
Afghanistan,1788,143.226662004142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.917477720557,162.19340290187202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165283.56795278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6348.36652094622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15182.0261724391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.104416140135,1899.81609982626,0.0,0.0
Afghanistan,1789,143.78704228827098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.95343529201097,162.827991350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165930.24680066502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6373.20476953055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15241.4264825567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.334675882636,1907.24920949255,0.0,0.0
Afghanistan,1790,144.34728484887498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.989392863464,163.462423837035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166576.766715602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6398.03691366895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.8121939808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.564935625136,1914.68049233857,0.0,0.0
Afghanistan,1791,144.929798300232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.110182000396,164.12207642957398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167248.987238468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6423.85619089604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15362.5586198246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.846456190241,1922.40718524454,0.0,0.0
Afghanistan,1792,145.512154626536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.2309711373259,164.781551089829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167921.026439023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6449.66850372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15424.2883904128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.12797675534597,1930.13179398056,0.0,0.0
Afghanistan,1793,146.094353827787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.351760274258,165.440847817801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168592.884317266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6475.47385215731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15486.001505745398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.40949732045095,1937.85431854663,0.0,0.0
