Entity,Year,Cereal yield index (World Bank (2017) & OWID)
Bulgaria,1964,122
Bulgaria,1965,132
Bulgaria,1966,168
Bulgaria,1967,169
Bulgaria,1968,140
Bulgaria,1969,162
Bulgaria,1970,179
Bulgaria,1971,182
Bulgaria,1972,212
Bulgaria,1973,200
Bulgaria,1974,182
Bulgaria,1975,196
Bulgaria,1976,214
Bulgaria,1977,194
Bulgaria,1978,200
Bulgaria,1979,217
Bulgaria,1980,212
Bulgaria,1981,233
Bulgaria,1982,267
Bulgaria,1983,213
Bulgaria,1984,258
Bulgaria,1985,167
Bulgaria,1986,232
Bulgaria,1987,212
Bulgaria,1988,212
